U2UT Model Training 

Baseline parameters

d_model = 512, num_layers (encoder) = 6,  num_layers (decoder) = 2, d_ff = 1024
n_heads = 4, kernel_size = 31, dropout = 0.1, input_dim = 512, vocab_size = 500,
hidden_size = 512, pos_encoding = True (Self Attention), False (Cross Attention), 
rnn_dim = 512 (LSTM based), Adam optimizer, lr = 1e-4, cross enthropy loss function,
batch_size = 16, shuffle = True, Total epochs = 26; synthesizer = LSTM based

seed = 42; sequence_len = 600; 

Note all others have head set to 4 except otherwise

a - f ---> Ablation studies Part A                                                                                                 g - h ---> Ablation studies Part B
                     a                b                 c                  d                    e                   f                         g                       h
                  joint full                         joint full        joint full           joint full           PE = False     |       with GRU Based           with GRU Based
epochs        MHSA with h = 4    Without FF        MHSA with h = 8     MHSA with h = 2      MHSA with h = 1      without PE             Phoneme Decoder          Phoneme Decoder
                                    h = 4                                                                                                h = 4 (joint)            h = 2 (joint)                                                       
                                                   
VA epoch 3       0.0457             0.0452           0.0411                              0.0453                0.1509                   0.1427                  0.3661             0.3572

TL epoch 4       4.9532             5.0019           5.0080                              4.9937                4.5585                   4.6224                  2.8759             2.9434
TA epoch 4       0.0825             0.0821           0.0791                              0.0848                0.2332                   0.2056                  0.5499             0.5207
VL epoch 4       5.2400             5.2625           5.2772                              5.2672                4.8672                   4.9400                  2.9041             2.9797
VA epoch 4       0.0548             0.0563           0.0542                              0.0529                0.1953                   0.1693                  0.5562             0.5394

TL epoch 5       4.7723             4.7777           4.8134                              4.7810                4.3277                   4.3997                  2.1113             2.1938
TA epoch 5       0.1029             0.1045           0.0964                              0.1032                0.2769                   0.2412                  0.6951             0.6745
VL epoch 5       5.0742             5.0492           5.1020                              5.0672                4.6409                   4.7263                  2.1251             2.2143
VA epoch 5       0.0728             0.0727           0.0655                              0.0702                0.2378                   0.1953                  0.6980             0.6780

TL epoch 6       4.5917             4.5647           4.6268                              4.5706                4.0860                   4.1728                  1.4600             1.5474
TA epoch 6       0.1269             0.1281           0.1159                              0.1307                0.3129                   0.2770                  0.7993             0.7881
VL epoch 6       4.9066             4.8610           4.9302                              4.8638                4.4047                   4.5070                  1.4701             1.5613
VA epoch 6       0.0963             0.0932           0.0833                              0.1026                0.2665                   0.2370                  0.7968             0.7885

TL epoch 7       4.4201             4.3754           4.4499                              4.3792                3.8346                   3.9399                  0.9480             1.0260
TA epoch 7       0.1528             0.1502           0.1355                              0.1572                0.3461                   0.3170                  0.8790             0.8713
VL epoch 7       4.7410             4.6947           4.7654                              4.6912                4.1480                   4.2740                  0.9629             1.0440
VA epoch 7       0.1077             0.1121           0.0933                              0.1175                0.3024                   0.2702                  0.8821             0.8696

TL epoch 8       4.2561             4.2114           4.2874                              4.2143                3.5570                   3.6895                  0.5822             0.6435
TA epoch 8       0.1775             0.1729           0.1547                              0.1778                0.3930                   0.3621                  0.9370             0.9280
VL epoch 8       4.5797             4.5410           4.6134                              4.5361                3.8630                   4.0142                  0.6030             0.6701
VA epoch 8       0.1284             0.1274           0.1100                              0.1338                0.3449                   0.3153                  0.9317             0.9216

TL epoch 9       4.1039             4.0683           4.1428                              4.0731                3.2660                   3.4223                  0.3375             0.3813 
TA epoch 9       0.1974             0.1902           0.1744                              0.1972                0.4450                   0.4113                  0.9667             0.9614 
VL epoch 9       4.4419             4.4051           4.4875                              4.4076                3.5544                   3.7282                  0.3637             0.4125
VA epoch 9       0.1445             0.1411           0.1222                              0.1441                0.4057                   0.3686                  0.9602             0.9543


TL epoch 10      3.9683             3.9366           4.0181                              3.9513                2.9517                   3.1265                  0.1891             0.2182 
TA epoch 10      0.2197             0.2090           0.1924                              0.2178                0.5085                   0.4663                  0.9825             0.9809
VL epoch 10      4.3066             4.2751           4.3636                              4.2855                3.2156                   3.4076                  0.2121             0.2448
VA epoch 10      0.1590             0.1541           0.1378                              0.1581                0.4698                   0.4240                  0.9752             0.9737


TL epoch 11      3.8406             3.8040           3.8979                              3.8349                2.6195                   2.8003                  0.1023             0.1192
TA epoch 11      0.2386             0.2293           0.2103                              0.2353                0.5668                   0.5310                  0.9917             0.9909
VL epoch 11      4.1802             4.1395           4.2493                              4.1703                2.8594                   3.0520                  0.1192             0.1395
VA epoch 11      0.1742             0.1731           0.1495                              0.1690                0.5318                   0.4986                  0.9874             0.9894


TL epoch 12     3.7221              3.6711           3.7902                              3.7221                2.2754                   2.4502                  0.0548             0.0643
TA epoch 12     0.2605              0.2526           0.2274                              0.2541                0.6299                   0.6026                  0.9959             0.9956
VL epoch 12     4.0567              4.0049           4.1417                              4.0578                2.4891                   2.6672                  0.0644             0.0761
VA epoch 12     0.1998              0.1909           0.1671                              0.1905                0.6026                   0.5753                  0.9953             0.9944


